record_name,ref_name
"Кабель ВВГнг(А)-FRLSLTx 4х1,5ок(N)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х1,5-660"
"Кабель ВВГнг(А)-FRLSLTx 4х1,5ок(N)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х1,5-660"
"Кабель ВВГнг(А)-LSLTx 4х1,5ок(N)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х1,5-660"
"Кабель ВВГЭнг(А)-LSLTx 4х1,5ок(N)-0,66 кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х1,5-660"
"Кабель ППГнг(А)-HF 4х1,5ок(N) - 0,66","Кабель силовой гибкий с медными жилами КГ 4х1,5-660"
"Кабель ППГнг(А)-HF 4х1,5ок(N)-0,66 кВ ТУ 16.К73.102-2011  (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х1,5-660"
"Кабель ППГнг(А)-HF 4х1,5ок(N)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х1,5-660"
Кабель KBB 4x10 ГОСНИП / ПОДОЛЬСККАБЕЛЬ,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель ВБШв 4х10 0.66кВ ЭЛЕКТРОКАБЕЛЬ НН,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель ВБШвнг(А)-LS 4x10 OK (N) 1 кВ (м) АЛЮР 00-00003325,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель ВБШвнг(А)-LS 4х10 ОК (N) 1кВ (м) АЛЮР,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель ВБШвнг(А)-LS 4х10 ОК (N) 1кВ (м) АЛЮР 00-00003325,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель КВВ 4x10 (м) спец.,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель КВВ 4х10 (м) спец.,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель КГтп 4x10,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель силовой ВБШвнг(А)-LS 4х10-1,Кабель силовой гибкий с медными жилами КГ 4х10-660
Кабель АВБШв 4x120,Кабель силовой гибкий с медными жилами КГ 4х120-660
Кабель АПвБШв 4x120 МС (N) 1кВ (м) Камкабель 11Y14410N00090J Толеранс на производство +-10%,Кабель силовой гибкий с медными жилами КГ 4х120-660
Кабель АПвБШв 4х120 МС (N) 1кВ (м) Камкабель 11Y14410N00090J,Кабель силовой гибкий с медными жилами КГ 4х120-660
Кабель АПвБшв 4х120 мс N -1 Камкабель Толеранс на производство +-10%,Кабель силовой гибкий с медными жилами КГ 4х120-660
Кабель АПвБШв-1 4x120 PЭK-PRYSMIAN,Кабель силовой гибкий с медными жилами КГ 4х120-660
Кабель АПвБШп(г) 4х120 (N) 1кВ АЛЮР,Кабель силовой гибкий с медными жилами КГ 4х120-660
"Кабель ВВГнг(А)-FRLSLTx 4х2,5ок(N) - 0,66","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ВВГнг(А)-FRLSLTx 4х2,5ок(N)-0,66кВ ТУ  16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ВВГнг(А)-FRLSLTx 4х2,5ок(N)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ВВГнг(А)-FRLSLTx 4х2,5ок(N)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ВВГЭнг(А)-LSLTx 4х2,5ок(N) - 0,66","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ВВГЭнг(А)-LSLTx 4х2,5ок(N)-0,66 кВ ТУ  16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ВВГЭнг(А)-LSLTx 4х2,5ок(N)-0,66 кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ВВГЭнг(А)-LSLTx 4х2,5ок(N)-0,66 кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ППГнг(А)-HF 4х2,5ок(N)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ППГЭнг(А)-HF 4х2,5ок(N) - 0,66","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ППГЭнг(А)-HF 4х2,5ок(N)-0,66кВ ТУ 16.К73.102-2011  (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
"Кабель ППГЭнг(А)-HF 4х2,5ок(N)-0,66кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 4х2,5-660"
Кабель АВВГ 4x240 1 кВ (м) АЛЮР,Кабель силовой гибкий с медными жилами КГ 4х240-660
Кабель АВВГ 4x240 МС (N) 1 кВ (м) Энергокабель ЭК000025749,Кабель силовой гибкий с медными жилами КГ 4х240-660
Кабель АВВГ 4x240-1 Энергокабель,Кабель силовой гибкий с медными жилами КГ 4х240-660
Кабель АВВГ 4х240-1 АЛЮР,Кабель силовой гибкий с медными жилами КГ 4х240-660
Кабель АВВГнг(А)-LS 4x240 МС (N) 1 кВ (м) АЛЮР 00-00001689,Кабель силовой гибкий с медными жилами КГ 4х240-660
Кабель АПвБШп 4х25 0.66кВ АЛЮР,Кабель силовой гибкий с медными жилами КГ 4х25-660
Кабель АПвБШп(г) 4х25 МК (N) 0.66кВ (м) АЛЮР 00-00002316,Кабель силовой гибкий с медными жилами КГ 4х25-660
Кабель АПвБШп(г) 4х25 МК (N) 1кВ (м) Эм-кабель,Кабель силовой гибкий с медными жилами КГ 4х25-660
Кабель АВБШв 5x16,Кабель силовой гибкий с медными жилами КГ 5х16-660
"Кабель ВБШв 5х2,5ок(N,РЕ)-0,66кВ ТУ 16-705.499-2010 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВБШв 5х2,5ок(М,РЕ)-0,66кВ ТУ 16-705.499-2010 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
Кабель ВБШвнг(А)-LS 5x2.5 (N РЕ) 0.66кВ (м) ЭЛЕКТРОКАБЕЛЬ НН 00-00006169,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
Кабель ВБШвнг(А)-LS 5х2.5 (N PE) 0.66кВ (м) ЭЛЕКТРОКАБЕЛЬ НН00-00006169,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-FRLSLTx 5х2,5ок(N, PE) - 0,66","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-FRLSLTx 5х2,5ок(N,PE)-0,66кВ ТУ  16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-FRLSLTx 5х2,5ок(N,PE)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-FRLSLTx 5х2,5ок(N,PE)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
Кабель ВВГнг(А)-LS 5х2.5 ок (N PE) 0.66кВ (м) ПромЭл 11853900,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-LSLTx 5х2,5ок(N, PE) - 0,66","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-LSLTx 5х2,5ок(N,PE)-0,66кВ ТУ  16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-LSLTx 5х2,5ок(N,PE)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-LSLTx 5х2,5ок(N,PE)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ВВГнг(А)-LSLТх 5x2,5 - 0,66","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель КГ 5x2,5(N, РЕ) 380/660-2 ТУ 16.К09-064-2004 / ГОСТ 24334-2020","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
Кабель КГтп 5x2.5 (N РЕ) 380/660-3 (м) Конкорд,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ППГнг(А)-HF 5х2,5ок(N, PE) - 0,66","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ППГнг(А)-HF 5х2,5ок(N,PE)-0,66 кВ ТУ  16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ППГнг(А)-HF 5х2,5ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
"Кабель ППГнг(А)-HF 5х2,5ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой гибкий с медными жилами КГ 5х2,5-660"
Кабель АПВБШВ 4x95 МС (N) 1кВ (м) Камкабель Толеранс на производство +-10%,Кабель силовой гибкий с медными жилами КГН 4х95-660
Кабель АПВБШВ 4х95 МС (N) 1кВ (м) Камкабель,Кабель силовой гибкий с медными жилами КГН 4х95-660
Кабель АПвБшв 4х95 мс N -1 Камкабель Толеранс на производство +-10%,Кабель силовой гибкий с медными жилами КГН 4х95-660
Кабель АПвБШв-1 4x95 PЭK-PRYSMIAN,Кабель силовой гибкий с медными жилами КГН 4х95-660
Кабель АПвБШп(г) 4х95 (N) 1кВ АЛЮР / Энергокомплект,Кабель силовой гибкий с медными жилами КГН 4х95-660
Кабель АВБШвнг(А)-LS 5x10 ОК 1 кВ (м) спец.,Кабель силовой гибкий с медными жилами КГН 5х10-660
Кабель АВВГ 5x10 OK (N РЕ) 0.66кВ (м) АЛЮР,Кабель силовой гибкий с медными жилами КГН 5х10-660
Кабель АВВГ 5x25 OK (N РЕ) 0.66кВ (м) АЛЮР,Кабель силовой гибкий с медными жилами КГН 5х25-660
Кабель АВВГнг(А)-LS 5x25 OK (N РЕ) 0.66кВ (м) АЛЮР 00-00001789,Кабель силовой гибкий с медными жилами КГН 5х25-660
Кабель АВБШв 5x35,Кабель силовой гибкий с медными жилами КГН 5х35-660
Кабель H07RN-F 5X4 450/750В ТУ 16.К73.128-2015 (Электрокабель),Кабель силовой гибкий с медными жилами КГН 5х4-660
Кабель АВВГ 5x4,Кабель силовой гибкий с медными жилами КГН 5х4-660
Кабель АВВГнг(А)-LS (5х4),Кабель силовой гибкий с медными жилами КГН 5х4-660
Кабель АВВГнг(А)-LS 5x4 OK (N РЕ) 0.66кВ (м) АЛЮР 00-00001801,Кабель силовой гибкий с медными жилами КГН 5х4-660
Кабель АВВГнг(А)-LS 5х4 Алюр,Кабель силовой гибкий с медными жилами КГН 5х4-660
Кабель АВВГнг(А)-LS 5х4 ОК (N PE)  0.66кВ (м) АЛЮР 00-00001801,Кабель силовой гибкий с медными жилами КГН 5х4-660
Кабель АВВГ 5x6,Кабель силовой гибкий с медными жилами КГН 5х6-660
Кабель АВВГ 5x6 OK (N РЕ) 0.66кВ (м) АЛЮР,Кабель силовой гибкий с медными жилами КГН 5х6-660
Кабель АВВГнг(А)-LS 5x6 OK (N РЕ) 0.66кВ (м) АЛЮР 00-00001815,Кабель силовой гибкий с медными жилами КГН 5х6-660
Кабель АВВГнг(А)-LS 5х6 Алюр,Кабель силовой гибкий с медными жилами КГН 5х6-660
Кабель АВВГнг(А)-LS 5х6 ОК (N PE)  0.66кВ (м) АЛЮР 00-00001815,Кабель силовой гибкий с медными жилами КГН 5х6-660
Кабель ВВГнг(А)-LS 5x6,Кабель силовой гибкий с медными жилами КГН 5х6-660
Кабель ВВГнг(А)-LS 5х6,Кабель силовой гибкий с медными жилами КГН 5х6-660
"ООО АМГ-Электро Кабель ВВГнг(А)-LS 5x6 ок (N,РЕ) - 0,66 кВ бухта - 100 п.м. 01.472.60.21 22042",Кабель силовой гибкий с медными жилами КГН 5х6-660
Кабель АВВГнг(А)-LS 5x70 1кВ,Кабель силовой гибкий с медными жилами КГН 5х70-660
Кабель АВВГнг(А)-LS 5x70 МС (N РЕ) 1 кВ (м) Людиново Л0015255,Кабель силовой гибкий с медными жилами КГН 5х70-660
Кабель АВВГнг(А)-LS 5x70 МС (N РЕ) 1кВ (м)АЛЮР 00-00001821,Кабель силовой гибкий с медными жилами КГН 5х70-660
"Контрольный гибкий кабель , не содержащий галогенов КГППнг(А)-HF 7х0,75",Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000
Провод силовой ПуГВнг (A)-LSLTx 1x6.0  голубой (100м)ТРТС,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000
Провод силовой ПуГВнг (A)-LSLTx 1x6.0 белый (100м)ТРТС,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000
Провод силовой ПуГВнг (A)-LSLTx 1x6.0 желто-зеленый (100м)ТРТ,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000
Провод силовой ПуГВнг (A)-LSLTx 1x6.0 желто-зеленый (100м)ТРТС,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000
Кабель ААШв-10 3x120 ож (м) Камкабель,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000
Кабель ААШв-10 3х120 Камкабель,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000
Кабель ААШв-10 3х120 ож (м) Камкабель 11Ы63310600K010,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000
"Кабель ААШв-10 3х120 ож (м) Камкабель 11Ы63310600K010 – толеранса не будет, складской",Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000
Кабель ААШв-10 3х120 ож (м) Камкабель 11Ы63310600К010,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000
"Кабель ААШв-10 3х120 ож (м)Камкабель 11Ы63310600K010 –толеранса не будет, в наличии",Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000
Кабель АСБл-10 3x120 ож (м) Рыбинсккабель,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000
Кабель КГ-ХП 1x35 380/660 Конкорд,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000
Кабель КГтп 1х50,Кабель силовой гибкий с медными жилами КГЭ 3х150+1х50+1х10-6000
Кабель ВВГнг(А)-LS 1x10 ОК Ж/3 0.66кВ (м) АЛЮР 00-00004989. Срок поставки 3-5 недель,Кабель силовой гибкий с медными жилами КГЭ 3х25+1х10+1х6-6000
Кабель КГ 1x10,Кабель силовой гибкий с медными жилами КГЭ 3х25+1х10+1х6-6000
Кабель КГ-ХЛ 1x10 380/660В-2 ТУ 16. КУЗ.05-2021 (ГОСТ 24334-2020) (м) Кольчугино 100000869840030001,Кабель силовой гибкий с медными жилами КГЭ 3х25+1х10+1х6-6000
Кабель КГ-ХЛ 1х10 380/660В-2 ТУ 16.К73.05-2021 (ГОСТ 24334-2020) (м) Кольчугино 100000869840030001,Кабель силовой гибкий с медными жилами КГЭ 3х25+1х10+1х6-6000
Кабель КГ 1x16 Цветлит,Кабель силовой гибкий с медными жилами КГЭ 3х50+1х16+1х10-6000
"Кабель КГтп 1x16-0,66",Кабель силовой гибкий с медными жилами КГЭ 3х50+1х16+1х10-6000
Кабель КГ 1x25,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000
Кабель КГ 1x25 * наличие в г. Калининград,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000
Кабель КГ 1х25,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000
"Кабель КГтп 1x25-0,66",Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000
Провод силовой ПуГВнг (A)-LSLTx 1x25.0 желто-зеленый ТРТС,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000
Провод силовой ПуГВнг(А)-LSLTx 1х25.0 желто-зеленый ТРТС,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000
Провод СИП-2 3x150+1x70-0.6/1 ТУ 16-705.500-2006 и ТТ,Кабель силовой с алюминиевыми жилами ААБл 3х150+1х70-1000
Провод ПуГВнг(А)-18 1x6 Черный P3K-PRYSMIAN,Кабель силовой с алюминиевыми жилами АВВГ 3х10+1х6-660
Провод ПуГВнг(А)-LS 1х16 Ж/З 450/750В (м) Цветлит 00-00130618,Кабель силовой с алюминиевыми жилами АВВГ 3х50+1х16-660
Провод СИП-2 3x50+1*70,Кабель силовой с алюминиевыми жилами АВВГ 3х50+1х16-660
Провод ПВС 3x1.5 ГОСТ 7399-97,"Кабель силовой с медными жилами ВВГ 3х1,5ок-660"
Провод ПВС 3х1.5 Б (бухта) (м) Альгиз К ФР-00000439,"Кабель силовой с медными жилами ВВГ 3х1,5ок-660"
Провод ПВС 3х1.5 ГОСТ 7399-97,"Кабель силовой с медными жилами ВВГ 3х1,5ок-660"
Провод ПуГВ 1х16 Желт/Зел. Цветлит,Кабель силовой с медными жилами ВВГ 3х25+1х16-660
Провод ПуГВнг(А) LS 1х16 желто-зел,Кабель силовой с медными жилами ВВГ 3х25+1х16-660
Провод ПуВнг(А) LS 1х6 желто-зел,"Кабель силовой с медными жилами ВВГнг(A) 1х6,0ок-660"
"Кабель АВВГ Зх2,5ок(М,РЕ)-0,66 ТУ 16-705.499-2010 / ГОСТ 31996-2012","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ВБШв 3*1,5ок(N, PE) - 1 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ВБШв 3*2,5ок(N, PE) - 0,66 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ВБШв 3*2,5ок(N, PE) - 1 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ВБШв 5*2,5ок(N, PE) - 0,66 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ВВГнг(А)-LS 2*1,5ок(N) - 0,66 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ППГнг(А)-HF 3х2,5ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ППГнг(А)-HF 3х2,5ок(N,PE)-0,66 кВ ТУ  16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ППГнг(А)-HF 3х2,5ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ППГнг(А)-HF 3х2,5ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000"
"Кабель ВВГнг(А)-FRLSLTx 3х10ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-FRLSLTx 3х25мк(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-FRLSLTx 3х4ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-FRLSLTx 4х4ок(N) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LS 3*2,5","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LS 5*2,5 (N, РЕ)","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 1х10ок - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
Кабель ВВГнг(А)-LSLTx 1х150мк -1,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 1х16ок - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
Кабель ВВГнг(А)-LSLTx 1х240мк -1,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 1х25мк - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 1х4ок - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 1х6ок - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
Кабель ВВГнг(А)-LSLTx 1х70мк - 1,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 2х4ок(N) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 2х6ок(N) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 3х10ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 3х4ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 3х6ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ППГнг(А)-HF 3х4ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
Кабель силовой ВВГнг(А)-LS 1х400мк 1кВ (Белый),"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660"
"Кабель ВВГнг(А)-FRLSLTx 5х10ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-FRLSLTx 5х150мс(N, PE) - 1","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-FRLSLTx 5х16ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-FRLSLTx 5х4ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х10ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х16ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х25мк(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х35мк(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х4ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х50мк(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х70мс(N, PE) - 1","Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660"
"Кабель АВВГ 5х6ок(М,РЕ)-0,66 ТУ 16-705.499-2010","Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660"
"Кабель ВВГнг(А)-FRLSLTx 5х6ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х6ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660"
"Кабель ППГнг(А)-HF 5х6ок(N, PE) - 0,66","Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660"
"Кабель ППГнг(А)-HF 5х6ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011  (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660"
"Кабель ППГнг(А)-HF 5х6ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)","Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660"
"Кабель ВВГнг(А)-LSLTx 5х95мс(N, PE) - 1","Кабель силовой с медными жилами ВВГнг(A)-LS 5х95мс(N, PE)-1000"
"NKL 4200A-GY Кабель NIKOLAN F/UTP 4 пары, Кат.5е (Класс D), тест по ISO/IEC, 100МГц, одножильный, ВС (чистая медь), 24AWG (0,50мм), внутренний, PVC нг(А), серый, 305м","Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2"
"Кабель МКШнг(А)-LSLTx 2х1 0,5/0,75 кВ","Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2"
