x;y
Мембрана полимерная усиленная с двух сторон полипропиленовым нетканым полотном ветро влагозащитная паропроницаемая воздухонепроницаемая класс водонепроницаемости W группа горючести Г плотность потока водяного пара г м ч водоупорность не менее мм вод ст максимальная сила растяжения в продольном поперечном направлении Н мм толщина мм;Мембрана пвк-пропилен, усиленная двухсторонняя, ветро- и влагозащитная, W24, H20, 1200г/м2, толщина 1,5мм
Пергамин кровельный группа горючести Г разрывная сила в продольном направлении Н мм теплостойкость C масса кг м ;Пергамин кровельный, группа горючести Г, разрывная сила продольная Н мм, теплостойкость C, масса 10 кг/м2
Стеклорубероид гидроизоляционный марка С РМ с мелкозернистой посыпкой;Стеклорубероид гидроизоляционный, марка СРМ, мелкозернистая посыпка
Толь гидроизоляционный марка ТГ ;Толь гидроизоляционная, марка ТГ
Лента полипропиленовая с акрилатным клеевым слоем для герметизации и скрепления нахлестов полимерных рулонных материалов ширина мм;Лента герметизирующая, полипропилен, ширина 50мм
Материал рулонный битумный кровельный и гидроизоляционный ТПП наплавляемый основа стеклоткань гибкость не выше C разрывная сила в продольном поперечном направлении Н теплостойкость не менее C масса кг м ;Битумная кровельная фольга, ТПП, наплавленная основа, стеклоткань, гибкость не выше C, разрывная сила при напряжении 10Н, теплостойкость не менее C, масса 1кг/м2
Лист кровельный волнистый битумный толщина мм;Кровельный лист, волнистый битумный, толщина 5мм
Металлочерепица композитная с покрытием алюмоцинк и нанесенным на акриловую основу базальтовым гранулятом и акриловым грунтом толщина металлической основы мм;Композитная металлочерепица, алюмоцинковая поверхность, на акриловой основе, с базальтовым гранулятом и акриловым грунтом, толщина металлической основы 0,8мм
Черепица гибкая битумная на основе стеклохолста;Гибкая битумная черепица, на основе стеклохолста
Черепица коньковая керамическая гладкая глазурованная;Коньковая керамическая черепица, гладкая, глазурованая
Черепица коньковая цементно песчаная франкфуртская с зажимом длина мм;Франкфуртская цементно-песчаная коньковая черепица, с зажимами, длина 25,5см
Черепица керамическая пазовая ленточная размеры х мм;Керамическая пазовая ленточная черепица, размеры 350х350мм
Черепица керамическая гладкая глазурованная прямоугольная размеры х мм;Керамическая гладкая и глазурованная прямоугольная черепица, размеры 305х250мм
Черепица половинчатая цементно песчаная размеры х мм;Половинчатая цементно-песчаная черепица, размеры 350х350мм
Черепица керамическая рядовая размеры х мм;Керамическая рядовая черепица, размеры 305х250мм
Аэроэлемент конька из ПВХ для цементно песчаной черепицы сечение вентиляции см м;Аэроэлемент, форма конька, из ПВХ, для вентиляции, сечение 10х10см
Черепица боковая облегченная алюминиевая ширина мм длина мм;Алюминиевая боковая черепица, облегченная, ширина 120мм, длина 250мм
Черепица вальмовая цементно песчаная под хребтовую черепицу ширина мм;Вальмовая цементно-песчаная черепица, под хребтовую, ширина 240мм
Черепица полимерпесчаная размеры х мм х мм;Полимерпесчаная черепица, размеры 330х165х18мм
Заполнитель карниза к волнистым кровельным листам длина мм;Заполнитель карниза, для волнистых кровельных листов, длина 100мм
Элемент вентиляционный нижней защитной пленки из ПВХ размеры х х мм;Вентиляционный элемент, из ПВХ, нижняя защитная пленка, размеры 20х20см
Желоб ендова алюминиевый окрашенный размеры х мм;Алюминиевый окрашенный ендова желоб, размеры 400х100мм
Зажимы противоветровые из оцинкованной стали для рядовой черепицы длина общая мм ширина пластины мм длина пластины мм;Зажим противоветровой, из оцинкованной стали, для рядовой черепицы, длина общая 175мм, ширина пластины 50мм, длина пластины 50мм
Скобы Г образные алюминиевые для ендовы размеры х х мм;Г-образные алюминиевые скобы, для ендовов, размеры 50х50мм
Шурупы для крепления прижимной планки к дымоходу и стене в комплекте с термостойким дюбелем длина мм;Шурупы для крепления прижимной планки к дымоходу и стене, в комплекте с термостойким дюбелем, длина 30мм
Клипсы зажимы ;Клипсы зажимы, для крепления
Ламель минераловатная на синтетическом связующем плотность кг м ширина мм толщина мм;Минераловатная ламель, на синтетическом связующем, плотность 600 кг/м3, ширина 80мм, толщина 1мм
Сэндвич панель звукоизолирующая стеновая бескаркасная наружный слой из листа ГВЛ внутренний слой из штапельного стекловолокна индекс дополнительной звукоизоляции дБ с комплектом крепежа размеры х х мм;Сэндвич панель звукоизолирующая, стеновая, бескаркасная, наружный слой из ГВЛ, внутренний слой из штапельного стекловолокна, индекс звукоизоляции 25дБ, размеры 1200х2400мм, комплект крепежа
Панель стеновая антивандальная на основе стекломагниевого листа с акриловым покрытием НГ толщина мм;Стеновая антивандальная панель, из стекломагниевого листа, с акриловым покрытием НГ, толщина 3мм
Изоляция отражающая с односторонним фольгированием толщина мм;Изоляция отражающая, с односторонним фольгированием, толщина 12мм
Вермикулит вспученный;Вермикулит вспученный, толщина слоя 50мм
Кирпич пенодиатомитовый кажущаяся плотность кг м максимальная температура применения C;Пенодиатомитовый кирпич, кажущаяся плотность 50 кг/м3, максимальная рабочая температура +70C
Полиол системы жидких компонентов для напыления ППУ;Полиол для ППУ, жидкие компоненты
Пластина замковая из полиэтилена;Замковая пластина из полиэтилена, размер 30х80мм
Покрытие теплозащитное жидкое классическое;Жидкое теплозащитное покрытие, классическое
Прокладки пластины пробковые изоляционные технические толщина мм;Пробковые изоляционные прокладки, технические, толщина 10мм
Нить стеклянная комплексная специальная;Стеклянная нить, комплексная, специальная
Стекловолокно рубленое;Рубленое стекловолокно, толщина 3мм
Стеклопластик рулонный плотность г м толщина мм;Стеклопластик рулонный, плотность 1800г/м2, толщина 2мм
Ткань стеклянная А для гидроизоляции проезжей части мостов;Ткань стеклянная А, для гидроизоляции проезжей части мостов
Холсты стекловолокнистые термовлагоустойчивые;Холсты стекловолокнистые, термовлагоустойчивые
Фольга алюминиевая для технических целей мягкая рулонная толщина мм;Алюминиевая фольга для технических целей, мягкая, рулонная толщина 40мм
Фольга медная: Медная фольга для строительства
Фольгоизол вид ФК толщина мм: Изоляционная фольга для фасадов
Материал рулонный кровельный и гидроизоляционный состоящий из битумно полимерного или битумно резинового вяжущего слоя покрытого алюминиевой фольгой армированного стеклохолстом полиэстером толщина мм: Алюминиевая фольга с полимерным полотном для крыш
Жгут битумный эластичный уплотнительный для деформационных швов диаметр мм: Эластичный битумный жгут для швов
Войлок эластичный из минеральной ваты на синтетическом связующем: Минерально-волокнистый эластичный войлок
Диоктилфталат: Диоктилфталат - химический реагент
Метилен хлористый: Метилен хлорид - реактивный газ
Маты из минеральной ваты кашированные фольгой плотность кг м теплопроводность не более Вт м К сжимаемость не более упругость не менее предельная температура изолируемой поверхности от до C толщина мм: Маты из минеральной ваты с фольгой, высокая теплопроводность, сжимаемость и упругость, широкий температурный диапазон, тонкая толщина
Маты из минеральной ваты на синтетическом связующем из каменной ваты базальтовых пород плотность кг м толщина мм: Маты из минеральной ваты на синтетическом связующем с базальтовыми породами
Маты прошивные теплоизоляционные из минеральной ваты без обкладки марка: Прошивные теплоизоляционные маты из минеральной ваты без обкладок
Маты прошивные теплоизоляционные из минеральной ваты в обкладках из стеклоткани негорючие: Прошивные теплоизоляционные маты из минеральной ваты в негорючих стеклотканых обкладках
Маты прошивные теплоизоляционные из минеральной ваты на основе базальтовых пород с покрытием металлической сеткой и армированной алюминиевой фольгой группа горючести Г плотность кг м теплопроводность при C не более Вт м К максимальная температура применения C толщина мм: Прошивные теплоизоляционные маты из минеральной ваты с металлической сеткой и армированной алюминиевой фольгой, высокая теплопроводность, высокая максимальная температура применения
Маты прошивные теплоизоляционные из минеральной ваты на основе базальтовых пород с покрытием металлической сеткой и неармированной алюминиевой фольгой группа горючести НГ плотность кг м теплопроводность при C не более Вт м К максимальная температура применения C толщина мм: Прошивные теплоизоляционные маты из минеральной ваты с металлической сеткой и неармированной алюминиевой фольгой, высокая теплопроводность, высокая максимальная температура применения
Маты прошивные теплоизоляционные из минеральной ваты на основе базальтовых пород с покрытием металлической сеткой и прошивкой проволокой из нержавеющей стали группа горючести НГ плотность кг м теплопроводность при C не более Вт м К максимальная температура применения C толщина мм: Прошивные теплоизоляционные маты из минеральной ваты с металлической сеткой и проволочной прошивкой из нержавеющей стали, высокая теплопроводность, высокая максимальная температура применения
Маты теплоизоляционные из супертонкого стеклянного штапельного волокна без связующего толщина мм: Теплоизоляционные маты из супертонкого стеклянного штапельного волокна без связующего
Маты из минеральной ваты вертикально слоистые из мягких плит на синтетическом связующем с покрытием из рубероида марка толщина мм: Минерально-волокнистые вертикально слоистые маты из мягких плит на синтетическом связующем с рубероидовым покрытием
Лист из вспененного полиэтилена с двусторонним фольгированием толщина мм: Вспененный полиэтилен с двусторонним фольгированием
Плиты теплоизоляционные гидрофобизированные из минеральной ваты на основе базальтовых пород группа горючести НГ плотность кг м теплопроводность при C не более Вт м К прочность на сжатие не менее МПа: Теплоизоляционные гидрофобизированные плиты из минеральной ваты на основе базальтовых пород, высокая теплопроводность, высокая прочность на сжатие
Плиты из минеральной ваты двухслойные толщина мм: Двухслойные плиты из минеральной ваты
Плиты из минеральной ваты кашированные стеклохолстом толщина мм: Плиты из минеральной ваты с кашированным стеклохолстом
Плиты из минеральной ваты на синтетическом связующем теплоизоляционные ПП полужесткие плотность кг м: Теплоизоляционные плиты из минеральной ваты на синтетическом связующем, полужесткие плотность кг м
Плиты пенополистирольные теплоизоляционные тип Т ППС: Теплоизоляционные плиты пенополистирольные тип Т ППС
Плиты теплоизоляционные из минеральной ваты на основе стекловолокна группа горючести НГ плотность кг м теплопроводность при C не более Вт м К: Теплоизоляционные плиты из минеральной ваты на основе стекловолокна, группа горючести НГ, достаточная плотность и теплопроводность
Плиты теплоизоляционные из ячеистого стекла толщина мм: Теплоизоляционные плиты из ячеистого стекла
Плиты теплоизоляционные из экструдированного пенополистирола группа горючести Г плотность кг м теплопроводность при C не более Вт м К прочность на сжатие не менее МПа: Теплоизоляционные плиты из экструдированного пенополистирола, группа горючести Г, достаточная плотность и теплопроводность, высокая прочность на сжатие
Плиты теплоизоляционные из минеральной ваты на основе базальтовых пород для фасадных систем со штукатурным слоем группа горючести НГ плотность кг м теплопроводность при C не более Вт м К прочность на сжатие не менее МПа: Теплоизоляционные плиты из минеральной ваты на основе базальтовых пород для фасадных систем с штукатурным слоем, группа горючести НГ, достаточная плотность и теплопроводность, высокая прочность на сжатие
Плиты теплоизоляционные из минеральной ваты на основе базальтовых пород плотность кг м теплопроводность не более Вт м К: Теплоизоляционные плиты из минеральной ваты на основе базальтовых пород с достаточной плотностью и теплопроводностью
Пенополиуретан листовой эластичный трудносгораемый: Листовой эластичный трудносгораемый пенополиуретан
Плиты из стеклянного штапельного волокна на синтетическом связующем полужесткие технические: Плиты из стеклянного штапельного волокна на синтетическом связующем, полужесткие технические
Плита теплоизоляционная из пенополиизоцианурата с двухсторонним кашированием фольгой Г плотность кг м температурный режим использования от до C теплопроводность Вт м К толщина мм: Теплоизоляционная плита из пенополиизоцианурата с двухсторонним кашированием фольгой, температурный режим использования от до C, достаточная теплопроводность
Сегменты теплоизоляционные из пенополиуретана для труб диаметром мм толщина изоляции мм: Теплоизоляционные сегменты из пенополиуретана для труб с указанным диаметром и толщиной изоляции
Скорлупы теплоизоляционные из пенополиуретана фольгированные внутренний диаметр мм толщина мм: Теплоизоляционные скорлупы из пенополиуретана с фольгированием, внутренний диаметр мм, толщина мм
Сегменты полуцилиндры из экструдированного пенополистирола пожарно технические характеристики Г В Д Т прочность на сжатие не менее МПа теплопроводность не менее Вт м К длина мм толщина мм наружный диаметр трубы мм: Полуцилиндрические сегменты из экструдированного пенополистирола с пожарными техническими характеристиками, указанной прочностью на сжатие, теплопроводностью и размерами
Теплоизоляция из вспененного каучука в рулонах без покрытия группа горючести Г плотность кг м температура применения от до C толщина мм: Теплоизоляция из вспененного каучука в рулонах без покрытия, группа горючести Г, температура применения от до C, толщина мм
Пенополиэтилен рулонный теплоизоляционный плотность кг м теплопроводность Вт м К толщина мм: Рулонный теплоизоляционный пенополиэтилен с указанной плотностью, теплопроводностью и толщиной мм
Трубки теплоизоляционные из вспененного синтетического каучука без покрытия Г плотность кг м температура применения от до C внутренний диаметр мм толщина мм: Теплоизоляционные трубки из вспененного синтетического каучука без покрытия, указанная плотность, температура применения и внутренний диаметр мм
Трубки теплоизоляционные из вспененного полиэтилена внутренний диаметр мм толщина мм: Теплоизоляционные трубки из вспененного полиэтилена с указанным внутренним диаметром и толщиной мм
Пенополипропилен рулонный вибро шумоизоляция и теплоизоляция плотность кг м коэффициент теплопроводности Вт м К толщина мм: Рулонный пенополипропилен для виброшумоизоляции и теплоизоляции с указанной плотностью, коэффициентом теплопроводности и толщиной мм
Труба терморасширяющаяся из вспучивающейся резины длина мм толщина стенки мм внутренний диаметр мм: Терморасширяющаяся труба из вспучивающейся резины, указанные размеры
Плита облицовочная из ракушечника пиленая размеры х мм толщина мм;Плита облицовочная из ракушечника пиленая, размеры х мм, толщина мм
Камень валун декоративный из кварцита цвет зеленый фракция см;Камень декоративный из кварцита зеленый, размер фракции см²
Плита гранитная облицовочная пиленая месторождение Возрождение размеры х мм толщина мм;Плита гранитная облицовочная пиленая, размеры х мм, толщина мм
Камни булыжные;Камень булыжный
Камни бортовые из гранита пиленые месторождение Мансуровское марка ГП высота мм ширина мм;Камень бортовой из гранита, пиленый, размеры мм
Плиты гранитные брекчиевидные толщина мм;Плиты гранитные брекчиевидные, толщина мм
Клей казеиновый;Клей казеиновой основе
Клей марка БМК к;Клей марки БМК
Клей марка ПВА;Клей ПВА
Клей контактный однокомпонентный на основе нитрильной резины и синтетических смол для приклейки кровельных ПВХ мембран;Клей для приклеивания ПВХ мембран
Клей сухой на основе карбоксиметилцеллюлозы для всех типов обоев расход кг м;Клей сухой на основе карбоксиметилцеллюлозы для обоев, расход кг м
Клей битумный;Битумный клей
Клей на основе вспененного синтетического каучука для склеивания изоляционных материалов;Клей на основе вспененного синтетического каучука для изоляции
Клей марка НП;Клей марки НП
Клей монтажный жидкие гвозди;Клей монтажный в виде жидких гвоздей
Клей герметик полиуретановый однокомпонентный объем мл;Клей герметик полиуретановый, объем мл
Клей фенолополивинилацетальный марка БФ;Клей фенолополивинилацетальный, марка БФ
Клей на эпоксидной основе двухкомпонентный компонент A и B марка ВК;Клей эпоксидный, компоненты A и B, марка ВК
Клей герметик кремнийорганический марка Эласил;Клей герметик кремни
Паста огнезащитная вспучивающаяся водоэмульсионная для огнезащиты металлоконструкций;Паста огнезащитная, вспучивающаяся, водоэмульсионная, 5 кг
Пленка огнезащитная;Пленка огнезащитная, 10 м²
Материал однокомпонентный на каучуково смоляной основе гидроизоляционный антикоррозионный высыхающего типа для объектов транспортного и гражданского строительства;Материал однокомпонентный на каучуково-смоляной основе, 20 кг
Смола каменноугольная для дорожного строительства;Смола каменноугольная, 20 кг
Смола эпоксидно диановая неотвержденная;Смола эпоксидно диановая, 1 кг
Композиция полимерная двухкомпонентная компонент A на основе эпоксидной смолы для антикоррозионной защиты и восстановления внутренней поверхности трубопроводов различного назначения водоснабжение теплоснабжение транспортировка углеводородного сырья плотность при C г см  ;Композиция полимерная двухкомпонентная, 5 кг
Лапромол;Лапромол, 500 г
Полиизоцианат;Полиизоцианат, 1 кг
Смола карбамидоформальдегидная;Смола карбамидоформальдегидная, 1 кг
Смола полиамидная;Смола полиамидная, 1 кг
Смола фурано эпоксидная;Смола фурано эпоксидная, 1 кг
Гидроизоляция грунтовочная;Гидроизоляция грунтовочная, 20 кг
Гидроизоляция шпаклевочная;Гидроизоляция шпаклевочная, 20 кг
Гидроизоляция штукатурная;Гидроизоляция штукатурная, 20 кг
Дисперсия водная синтетического латекса и инертных заполнителей без содержания растворителей цвет голубой;Дисперсия водная синтетического латекса, 2 кг
Состав гидроизоляционный двухкомпонентный на основе акрил стирольной дисперсии для защиты поверхности бетонных железобетонных и кирпичных конструкций от деформационного воздействия;Состав гидроизоляционный двухкомпонентный, 1 кг
Состав инъекционный низkovзayциональный на основе полиуретановых смол в комплекте с катализатором для устранения активных протечек в бетонных железобетонных конструкциях и в скальных массивах вязкость Па с при температуре C плотность г см;Состав инъекционный низковзayationalный, 1 кг
Состав двухкомпонентный электропроводной на основе эпоксидной смолы без растворителей для внутреннего покрытия стационарных стальных резервуаров плотность г см расход кг м;Состав двухкомпонентный электропроводной, 1 кг
Состав двухкомпонентный гидроизоляционный на цементной основе с полимерной эмульсией для защиты поверхности бетонных и кирпичных конструкций F W расход кг м при толщине слоя мм;Состав двухкомпонентный гидроизоляционный, 1 кг
Состав двухкомпонентный на цементной основе с содержанием полимерной и стальной латунированной фибры для ремонта бетонных и железобетонных конструкций;Состав двухкомпонентный на цементной основе, 1 кг
Состав полимерцементный;Состав полимерцементный, 1 кг
Состав двухкомпонентный гидроизоляционный эластомерный на полимерной основе для антикоррозионной защиты железобетонных и металлических поверхностей расход кг м при толщине слоя мм;Состав двухкомпонентный гидроизоляционный эластомерный, 1 кг
Антисептик антипирен готовый раствор для древесины для внутренних работ по обработке чердачных помещений и скрытых деревянных конструкций зданий плотность при C г см температура при обработке от до C температура при эксплутации от до C;Антисептик антипирен готовый раствор, 1 л
Состав двухкомпонентный для осветления потемневшей древесины и материалов на ее основе расход отбеливателя г м ;Состав двухкомпонентный для осветления потемневшей древесины, 1 кг
Бутилкаучук;Бутилкаучук, 1 кг
Состав гидрофобизирующий глубокого проникновения на основе силанов и силоксанов для поверхностной обработки кирпича бетона штукатурки плитки шифера дерева природного камня без характерного запаха плотность г см;Состав гидрофобизирующий глубокого проникновения, 1 кг
Жидкая смесь акриловых полимеров и модифицирующих компонентов для цементных смесей;Жидкая смесь акриловых полимеров, 1 кг
Жидкость кремнийорганическая ПФМС ;Жидкость кремнийорганическая ПФМС, 1 л
Пропитка однокомпонентная гидрофобная водоотталкивающая на основе силоксана для впитывающих минеральных оснований;Пропитка однокомпонентная гидрофобная, 1 л
Жидкость водоотталкивающая на основе силоксана для натуральных камней;Жидкость водоотталкивающая, 1 л
Каучук олигобутадиеновый низкомолекулярный массовая доля воды не более  ;Каучук олигобутадиеновый, 1 кг
Компаунд на основе силоксанового каучука;Компаунд на основе силоксанового каучука, 1 кг
Компаунд полиизобутиленовый липкий;Компаунд полиизобутиленовый, 1 кг
Латекс СКС ГП;Латекс СКС ГП, 1 кг
Состав двухкомпонентный эпоксидный инъекционный низковязкий состоящий из эпоксидной смолы компонента A полиаминового отвердителя компонента B для восстановления бетонных кирпичных каменных конструкций прочность на растяжение сжатие на сутки не менее МПа плотность г см при температуре C вязкость мПа с при температуре C;Состав двухкомпонентный эпоксидный инъекционный низковязкий, 1 кг
Гель двухкомпонентный гидрофильный быстрогерметизирующий на основе смеси акрилатов и метакрилатов для инъекционных работ в железобетонных кирпичных каменных сооружениях и для стабилизации грунтов при температуре C плотность г см вязкость мПа с;Гель двухкомпонентный гидрофильный, 1 л
Гель инъекционный однокомпонентный эластичный гидроизоляционный полиуретановый без содержания растворителей для гидроизоляции и герметизации швов и рыхлых грунтов;Гель инъекционный однокомпонентный, 1 л
Пластификатор на основе полиакрилатов для инъекционных акрилатных гелей плотность г см при температуре C вязкость мПа с при температуре C;Пластификатор на основе полиакрилатов, 1 л
Флокулянт катионный на основе полиакриламида для очистки и обезвоживания осадка сточных вод;Флокулянт катионный, 1 кг
Дисперсия водная стирол акрилового сополимера для применения в качестве связующего в высоконаполненных герметиках и шпатлевках водородный показатель pH ед ;Дисперсия водная стирол акрилового, 1 кг
Смеси сухие грунтовочные на полимерсиликатном вяжущем для минеральной силикатизированной двухкомпонентной смеси;Смеси сухие грунтовочные, 1 кг
Отвердитель битумно смоляной;Отвердитель битумно смоляной, 1 кг
Средство связующее полиуретановое для изготовления изделий из резиновой каучуковой крошки и устройства высокопрочных эластичных покрытий вязкость Па с при температуре C плотность г см ;Средство связующее полиуретановое, 1 кг
Грунтовка адгезионная для обработки плотных гладких слабо и не впитывающих влагу оснований;Грунтовка адгезионная, 1 кг
Грунтовка акрилатная водно дисперсионная для защиты от коррозии металлических поверхностей;Грунтовка акрилатная, 1 кг
Состав грунтовочный глубокого проникновения;Состав грунтовочный, 1 кг
Краска водно дисперсионная акрилатная ВД АК ;Краска водно дисперсионная акрилатная, 1 кг
Краска водно дисперсионная латексная ВД КЧ ;Краска водно дисперсионная латексная, 1 кг
Краска водно дисперсионная поливинилацетатная ВД ВА цвет белый;Краска водно дисперсионная поливинилацетатная, 1 кг
Краска силикатная двухкомпонентная на основе жидкого калиевого стекла с сухими цинковыми белилами компонент A основа цвет белый;Краска силикатная двухкомпонентная, 1 кг
Краска на водной основе со специальными добавками для защиты теплоизоляционных материалов расход л м;Краска для теплоизоляции л м
Грунтовка ГФ;Грунтовка обычная л
Грунтовка укрепляющая глубокого проникновения быстросохнущая паропроницаемая;Грунтовка быстросухая л
Грунтовка двухкомпонентная быстросохнущая на основе эпоксидного связующего и полиамидоаминового отвердителя компоненты A основа;Грунтовка эпоксидная л
Грунтовка В КФ;Грунтовка высокопрочная л
Грунтовка двухкомпонентная эпоксидная цинконаполненная антикоррозионная для защиты поверхности металлических конструкций эксплуатируемых во влажной промышленной атмосфере в пресной и морской воде расход кг м;Грунтовка коррозионно-стойкая кг
Грунтовка двухкомпонентная эпоксидная аминного отверждения для защиты железобетонных и металлических поверхностей расход кг м при толщине слоя мкм;Грунтовка эпоксидная кг
Праймер двухкомпонентный на эпоксидной основе для композитных материалов компонент A;Праймер эпоксидный л
